NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;Jualan Ikan;ganti oli servis;Perikanan;kp.sekebangbara rt 01/12 cangkorah batujajar;2011;4;40000000;22000000;081224369730;;2017/12/14;3;3
;Jualan Ikan Basah;bengkel ;Perikanan;kp.cibogo rt 04/12 panguban  batujajar ;2015;5;24000000;15000000;;;2017/12/15;3;3
;Mega Biru;Jual kan Asin;Perikanan;Jl Raya Batujajar No 152 Giriasih  batujajar ;2008;3;35000000;23500000;;;2017/12/16;3;3
;Jual Beli Ikan;Jual Beli Ikan;Perikanan;Jl Raya Batujajar No 102 Giriasih  batujajar ;2008;8;20000000;6000000;;;2017/12/17;3;3
;Budi Daya Ikan Lele;Budi Daya Ikan Lele;Perikanan;Kp. Warung Pulus Rt.002 Rw.009 Galanggang  batujajar ;2012;7;30000000;500000;;;2017/12/18;3;3
;abon ikan  ;Jual Abon Ikan;Perikanan;Blok Warung Pulus Rt.002 Rw.014 Batujajar Barat batujajar ;2010;7;6000000;5,000,000;;;2017/12/19;3;3
;jual beli sayur mayur;tomat,cabe, jagung, dll;pertanian;kp.sekebangbara rt 01/12 cangkorah batujajar;2012;2;15000000;1200000;;;2017/12/20;3;3
;tani syuran;cabe merah, timun;pertanian;kp.sekebangbara rt 01/12 cangkorah batujajar;2005;3;24000000;4000000;081214033614;;2017/12/21;3;3
;Jual Buah Segar;buah buahan ;pertanian;kp.haur nyondol rt 01/06 cangkorah batujajar;2007;3;15000000;3000000;081224369730;;2017/12/22;3;3
;cv. pro group ;tanaman hias bunga ;pertanian;perum cimareme indah  cimareme  batujajar ;2006;6;11000000;3500000;;;2017/12/23;3;3
;nenden florist ;bibit bunga  ;pertanian;jl. Gadobangkong rt. 01/03 gadobangkong  batujajar ;2011;5;15000000;3000000;;;2017/12/24;3;3
;Kios Buah Novi;DAGANG BUAH-BUAHAN ;pertanian;KP.DUNGUSPURNA RT.003 RW.010                     DESA GALANGGANG Galanggang batujajar ;2005;2;20000000;6000000;;;2017/12/25;3;3
;Toko Padi Pak Tarno;JUAL BELI PADI;pertanian;KP.CIMANGLID RT.003 RW.015                             DESA CANGKORAH Cangkorah batujajar ;2010;3;20000000;5000000;;;2017/12/26;3;3
;FRESH FRUIT;JUALAN BUAH;pertanian;Jl.Terusan SMP RT 02/15  Batujajar Barat batujajar ;2001;2;15000000;2000000;;;2017/12/27;3;3
;Kios Sayur Rina;JUALAN SAYURAN DAN WARUNGAN;pertanian;Kp Cihurip RT 01 Rw 11  Pangauban  batujajar ;2005;5;10000000;2000000;;;2017/12/28;3;3
